Date,y,G_U_1,G_U_2,G_U_3,G_U_4,G_U_5
"Wednesday, 1 February 1978",6.3,,,,,
"Wednesday, 1 March 1978",6.3,,,,,
"Saturday, 1 April 1978",6.3,,,,,
"Monday, 1 May 1978",6.3,,,,,
"Thursday, 1 June 1978",6.3,,,,,
"Saturday, 1 July 1978",6.3,,,,,
"Tuesday, 1 August 1978",6.3,,,,,
"Friday, 1 September 1978",6.3,,,,,
"Sunday, 1 October 1978",6.3,,,,,
"Wednesday, 1 November 1978",6.3,,,,,
"Friday, 1 December 1978",6.3,,,,,
"Monday, 1 January 1979",6.3,,,,,
"Thursday, 1 February 1979",6.3,,,,,
"Thursday, 1 March 1979",6.3,,,,,
"Sunday, 1 April 1979",6.3,,,,,
"Tuesday, 1 May 1979",6.3,,,,,
"Friday, 1 June 1979",6.3,,,,,
"Sunday, 1 July 1979",6.2,,,,,
"Wednesday, 1 August 1979",6.2,,,,,
"Saturday, 1 September 1979",6.2,,,,,
"Monday, 1 October 1979",6.2,,,,,
"Thursday, 1 November 1979",6.1,,,,,
"Saturday, 1 December 1979",6.1,,,,,
"Tuesday, 1 January 1980",6.1,,,,,
"Friday, 1 February 1980",6.1,,,,,
"Saturday, 1 March 1980",6.1,,,,,
"Tuesday, 1 April 1980",6.1,,,,,
"Thursday, 1 May 1980",6.2,,,,,
"Sunday, 1 June 1980",6.2,,,,,
"Tuesday, 1 July 1980",6.2,,,,,
"Friday, 1 August 1980",6.1,,,,,
"Monday, 1 September 1980",6.1,,,,,
"Wednesday, 1 October 1980",6,,,,,
"Saturday, 1 November 1980",6,,,,,
"Monday, 1 December 1980",5.9,,,,,
"Thursday, 1 January 1981",5.8,,,,,
"Sunday, 1 February 1981",5.7,,,,,
"Sunday, 1 March 1981",5.7,,,,,
"Wednesday, 1 April 1981",5.6,,,,,
"Friday, 1 May 1981",5.6,,,,,
"Monday, 1 June 1981",5.7,,,,,
"Wednesday, 1 July 1981",5.7,,,,,
"Saturday, 1 August 1981",5.8,,,,,
"Tuesday, 1 September 1981",5.8,,,,,
"Thursday, 1 October 1981",5.9,,,,,
"Sunday, 1 November 1981",6,,,,,
"Tuesday, 1 December 1981",6,,,,,
"Friday, 1 January 1982",6.1,,,,,
"Monday, 1 February 1982",6.2,,,,,
"Monday, 1 March 1982",6.3,,,,,
"Thursday, 1 April 1982",6.4,,,,,
"Saturday, 1 May 1982",6.5,,,,,
"Tuesday, 1 June 1982",6.7,,,,,
"Thursday, 1 July 1982",7,,,,,
"Sunday, 1 August 1982",7.3,,,,,
"Wednesday, 1 September 1982",7.7,,,,,
"Friday, 1 October 1982",8.2,,,,,
"Monday, 1 November 1982",8.6,,,,,
"Wednesday, 1 December 1982",9,,,,,
"Saturday, 1 January 1983",9.4,,,,,
