Date,y,G_U_1,G_U_2,G_U_3,G_U_4,G_U_5,G_U_6,G_U_7,G_U_8,G_U_9,G_U_10,G_U_11
"Thursday, 1 January 1976",47710,,,,,,,,,,,
"Sunday, 1 February 1976",49860,,,,,,,,,,,
"Monday, 1 March 1976",46100,,,,,,,,,,,
"Thursday, 1 April 1976",37270,,,,,,,,,,,
"Saturday, 1 May 1976",37620,,,,,,,,,,,
"Tuesday, 1 June 1976",30070,,,,,,,,,,,
"Thursday, 1 July 1976",35120,,,,,,,,,,,
"Sunday, 1 August 1976",44130,,,,,,,,,,,
"Wednesday, 1 September 1976",36050,,,,,,,,,,,
"Friday, 1 October 1976",46820,,,,,,,,,,,
"Monday, 1 November 1976",53680,,,,,,,,,,,
"Wednesday, 1 December 1976",67370,,,,,,,,,,,
"Saturday, 1 January 1977",48610,,,,,,,,,,,
"Tuesday, 1 February 1977",48390,,,,,,,,,,,
"Tuesday, 1 March 1977",50640,,,,,,,,,,,
"Friday, 1 April 1977",41680,,,,,,,,,,,
"Sunday, 1 May 1977",36210,,,,,,,,,,,
"Wednesday, 1 June 1977",31690,,,,,,,,,,,
"Friday, 1 July 1977",40830,,,,,,,,,,,
"Monday, 1 August 1977",42760,,,,,,,,,,,
"Thursday, 1 September 1977",37470,,,,,,,,,,,
"Saturday, 1 October 1977",45880,,,,,,,,,,,
"Tuesday, 1 November 1977",65100,,,,,,,,,,,
"Thursday, 1 December 1977",74030,,,,,,,,,,,
"Sunday, 1 January 1978",49900,,,,,,,,,,,
"Wednesday, 1 February 1978",51880,,,,,,,,,,,
"Wednesday, 1 March 1978",54980,,,,,,,,,,,
"Saturday, 1 April 1978",41880,,,,,,,,,,,
"Monday, 1 May 1978",41370,,,,,,,,,,,
"Thursday, 1 June 1978",34810,,,,,,,,,,,
"Saturday, 1 July 1978",44330,,,,,,,,,,,
"Tuesday, 1 August 1978",49750,,,,,,,,,,,
"Friday, 1 September 1978",45910,,,,,,,,,,,
"Sunday, 1 October 1978",52940,,,,,,,,,,,
"Wednesday, 1 November 1978",71470,,,,,,,,,,,
"Friday, 1 December 1978",91380,,,,,,,,,,,
"Monday, 1 January 1979",54580,,,,,,,,,,,
"Thursday, 1 February 1979",60330,,,,,,,,,,,
"Thursday, 1 March 1979",65350,,,,,,,,,,,
"Sunday, 1 April 1979",55610,,,,,,,,,,,
"Tuesday, 1 May 1979",54450,,,,,,,,,,,
"Friday, 1 June 1979",53440,,,,,,,,,,,
"Sunday, 1 July 1979",70160,,,,,,,,,,,
"Wednesday, 1 August 1979",66800,,,,,,,,,,,
"Saturday, 1 September 1979",57970,,,,,,,,,,,
"Monday, 1 October 1979",66010,,,,,,,,,,,
"Thursday, 1 November 1979",80010,,,,,,,,,,,
"Saturday, 1 December 1979",108650,,,,,,,,,,,
"Tuesday, 1 January 1980",65970,,,,,,,,,,,
"Friday, 1 February 1980",82210,,,,,,,,,,,
"Saturday, 1 March 1980",86790,,,,,,,,,,,
"Tuesday, 1 April 1980",61770,,,,,,,,,,,
"Thursday, 1 May 1980",60660,,,,,,,,,,,
"Sunday, 1 June 1980",69730,,,,,,,,,,,
"Tuesday, 1 July 1980",77330,,,,,,,,,,,
"Friday, 1 August 1980",69960,,,,,,,,,,,
"Monday, 1 September 1980",60870,,,,,,,,,,,
"Wednesday, 1 October 1980",71890,,,,,,,,,,,
"Saturday, 1 November 1980",84790,,,,,,,,,,,
"Monday, 1 December 1980",112590,,,,,,,,,,,
"Thursday, 1 January 1981",69570,,,,,,,,,,,
"Sunday, 1 February 1981",78700,,,,,,,,,,,
"Sunday, 1 March 1981",84300,,,,,,,,,,,
"Wednesday, 1 April 1981",67800,,,,,,,,,,,
"Friday, 1 May 1981",63120,,,,,,,,,,,
"Monday, 1 June 1981",72590,,,,,,,,,,,
"Wednesday, 1 July 1981",81200,,,,,,,,,,,
"Saturday, 1 August 1981",74980,,,,,,,,,,,
"Tuesday, 1 September 1981",62780,,,,,,,,,,,
"Thursday, 1 October 1981",80280,,,,,,,,,,,
"Sunday, 1 November 1981",88350,,,,,,,,,,,
"Tuesday, 1 December 1981",113060,,,,,,,,,,,
"Friday, 1 January 1982",79230,,,,,,,,,,,
"Monday, 1 February 1982",79210,,,,,,,,,,,
"Monday, 1 March 1982",84490,,,,,,,,,,,
"Thursday, 1 April 1982",82690,,,,,,,,,,,
"Saturday, 1 May 1982",61730,,,,,,,,,,,
"Tuesday, 1 June 1982",63600,,,,,,,,,,,
"Thursday, 1 July 1982",83620,,,,,,,,,,,
"Sunday, 1 August 1982",75740,,,,,,,,,,,
"Wednesday, 1 September 1982",66070,,,,,,,,,,,
"Friday, 1 October 1982",78170,,,,,,,,,,,
"Monday, 1 November 1982",88520,,,,,,,,,,,
"Wednesday, 1 December 1982",111600,,,,,,,,,,,
"Saturday, 1 January 1983",80910,,,,,,,,,,,
"Tuesday, 1 February 1983",78410,,,,,,,,,,,
"Tuesday, 1 March 1983",75740,,,,,,,,,,,
"Friday, 1 April 1983",70350,,,,,,,,,,,
"Sunday, 1 May 1983",58480,,,,,,,,,,,
"Wednesday, 1 June 1983",62740,,,,,,,,,,,
"Friday, 1 July 1983",84020,,,,,,,,,,,
